Repo,Scope,Standout_idea
eyaltoledano/claude-task-master,pm-framework,"A command-chaining DSL (command-pipeline) with state variables, conditionals, loops, parallel branches and join — letting a whole PM workflow (parse-prd → expand-all → filter:complex>70 → assign:senior → sprint-plan) be expressed as one composable spec."
sdi2200262/agentic-project-management,pm-framework,"File-based Message Bus: every agent owns a `.apm/bus/<slug>/` dir with single-purpose task.md/report.md/handoff.md channel files, and a 'read-before-write / clear-before-compose' protocol turns the filesystem into a typed, durable inter-agent message queue that survives context resets."
sdi2200262/agentic-project-management,pm-framework,"Project state lives entirely OUTSIDE agent context in a scaffolded `.apm/` tree (spec/plan/tracker + indexed per-stage memory logs), so any agent is a stateless executor that reconstructs from files — the core enabler of cheap handoffs."
sdi2200262/agentic-project-management,pm-framework,"Handoff deliberately splits PAST (Handoff Log: coordination history, VC state, learned user prefs, instance numbers) from PRESENT (Handoff Prompt: outstanding tasks + reconstruction steps), so a fresh instance rebuilds working knowledge procedurally rather than trusting one memory blob."
sdi2200262/agentic-project-management,pm-framework,"Self-contained Task Prompts with an enforced frontmatter contract (stage/task numbers, pre-constructed log_path, dependency flag) and a same-agent vs cross-agent dependency rule that decides how much context to inline — workers are intentionally scoped to only their prompt."
sdi2200262/agentic-project-management,pm-framework,Archive Explorer subagent reads whole prior-session archives but returns only a 5-category synthesis plus file-path verification handles — a context firewall that also forces the Planner to spot-check for stale context against the live codebase.
rodrigorjsf/prd-generator-plugin,pm-framework,"Fresh-context adversarial validator: research-validator is spawned with ONLY the research refs and zero project memory, explicitly so it cannot rationalize bad sources — a structural (not prompted) defense against confirmation bias, with a 3-iteration re-research loop and graceful partially_validated fallback."
rodrigorjsf/prd-generator-plugin,pm-framework,"Meta-skill (skills-generator): an agent that writes 7 project-specific enforcement SKILL.md files into the target repo, each stamped with prd_version, citing real RF-/DR-/ADR- IDs, with a 'zero curly-brace tokens in output' contract — the plugin's durable value is the enforcement scaffolding it leaves behind, not the one-shot PRD."
rodrigorjsf/prd-generator-plugin,pm-framework,"Versioned skills as a drift gate: every generated skill's prd_version is checked against the PRD header by prd-guardian, which warns 'skills are stale, run /prd-evolve' — turning documentation drift into a detectable, blockable condition."
rodrigorjsf/prd-generator-plugin,pm-framework,"Delta-aware /prd-evolve: requirements-analyst delta mode returns affected_artifacts, and ONLY those agents/sections are re-run in parallel; untouched artifacts are preserved and reported, with skills appending Evolution Log rows rather than being regenerated."
rodrigorjsf/prd-generator-plugin,pm-framework,"Local-first docs cache enforced three ways: a generated PreToolUse hook (stderr reminder on WebFetch/WebSearch), a project-docs-stack skill with a 'never search twice for the same topic' Hard Rule, and a docs/stack/README.md index table — a no-vector-DB persistent doc memory across sessions."
rodrigorjsf/prd-generator-plugin,pm-framework,"Source-discipline via blocked_domains: official-researcher bans ~25 forum/blog/social domains on every search and grades each source is_official, so the PRD is built only on vendor docs / standards bodies / gov portals."
cdeust/ai-prd-generator-plugin,pm-framework,"Verification is a 7-step Unified Pipeline that escalates cost by claim complexity: free zero-LLM graph checks (cycles/contradictions/PageRank) first, then KS-adaptive multi-judge consensus with statistical early-stopping, then NLI entailment, then multi-agent debate only for CRITICAL high-variance claims — verification effort is budgeted, not uniform."
cdeust/ai-prd-generator-plugin,pm-framework,"An honest verdict taxonomy (PASS / SPEC-COMPLETE / NEEDS-RUNTIME / INCONCLUSIVE / FAIL) with an explicit rule banning universal-PASS, fighting LLM confirmation bias at the output-contract level."
cdeust/ai-prd-generator-plugin,pm-framework,"64 numbered, machine-checkable output rules (story-point arithmetic must balance, no self-referencing dependencies, no TODO test bodies, parameterized queries only) enforced by a mandatory pre-delivery self-check that corrects violations before writing files."
cdeust/ai-prd-generator-plugin,pm-framework,A per-PRD-type context table (8 types × sections/clarification-Qs/RAG-hops/strategy-focus) that deterministically scales depth — a proposal gets 1 RAG hop and 5-6 questions; an incident gets 4 hops and 10-12 questions — exposed at runtime via an MCP get_prd_context_info tool.
cdeust/ai-prd-generator-plugin,pm-framework,Strategy effectiveness tracking (Algorithm 17): logs each thinking strategy's actual vs expected confidence gain and flags strategies underperforming on <5% of assignments — a self-measuring reasoning library.
Fission-AI/OpenSpec,pm-framework,"The workflow is DATA, not code: a single schema.yaml declares artifacts + requires[] dependencies + per-artifact instruction prompts, and a TypeScript artifact-graph DAG (graph/resolver/state) turns it into an enforced propose->specs/design->tasks->apply state machine."
Fission-AI/OpenSpec,pm-framework,"CLI-as-instruction-server: slash commands are thin shims that make the agent shell out to `openspec instructions <id> --json` and `openspec status --json` at each step, pulling ONLY the current artifact's rules + next pending step into context (true just-in-time disclosure instead of a giant system prompt)."
Fission-AI/OpenSpec,pm-framework,"Completion is inferred from disk: state.ts detectCompleted() decides which stages are done purely by checking whether each artifact's generated files/globs exist — no separate state DB, the folder contents ARE the state."
Fission-AI/OpenSpec,pm-framework,"Delta-spec discipline: changes never mutate the canonical openspec/specs/ tree; they write ADDED/MODIFIED/REMOVED/RENAMED delta files (MODIFIED must copy the whole requirement block), reconciled into source-of-truth only on archive."
Fission-AI/OpenSpec,pm-framework,"One workflow definition fans out to 27 AI-tool adapters, each writing the same /opsx commands in that harness's native command format, with auto-detection of which tools the repo uses."
buildermethods/agent-os,pm-framework,"Standards are MINED from your existing codebase, not authored top-down: discover-standards reads 5-10 representative files, surfaces 'unusual / opinionated / tribal / consistent' patterns, asks 'why' for each, and only then writes a standard — turning implicit team conventions into versioned, injectable context."
buildermethods/agent-os,pm-framework,"Index-as-context-router: a hand-light standards/index.yml (folder/file/one-line-description) is the retrieval layer instead of a vector DB — inject-standards reads the cheap index, then lazily loads only the 2-5 full standard bodies that match the current work."
buildermethods/agent-os,pm-framework,"Spec folders are self-contained handoff units with a hard 'save docs first' invariant: Task 1 of every shape-spec plan is always 'Save spec documentation' (plan/shape/standards/references/visuals) before any code, making planning durable and discoverable."
buildermethods/agent-os,pm-framework,"Deliberate de-scoping in v3: the project EXPLICITLY retired its own orchestration phases, role system, and verifier subagents on the thesis that frontier models + Claude Code Plan mode now handle implementation/orchestration natively — so it focuses only on what tools still do badly: codebase-specific standards + spec quality."
buildermethods/agent-os,pm-framework,"Token-frugality is a stated authoring rule ('every word costs tokens'): standards must lead with the rule, use code over prose, skip the obvious — context-window economics baked into the writing guidance."
huytieu/COG-second-brain,pattern-donor,"loop-engineering as a CITABLE shared skill: a single reference file gives every iterative skill the same 6-step loop, layered termination (deterministic verifier + iteration cap + budget guard + no-progress + human escalation), and a named-pattern vocabulary (ReAct/Reflexion/Evaluator-optimizer/Loop-until-dry) — DRY for agent control flow, with the dogma 'trust deterministic checks, never the agent's looks-done self-report.'"
huytieu/COG-second-brain,pattern-donor,"Tiered-enrichment people CRM gated purely by cross-source mention count (stub@1 / moderate@3+ / full@8+ or direct-meeting), append-only Timeline, every observation source-cited with [[wikilink]]+date+confidence, and an explicit 'don't force a full profile on first encounter' rule — anti-speculation by construction."
huytieu/COG-second-brain,pattern-donor,"Worker Output Rule as a hard context firewall: a token-threshold table (<2K inline / >=2K to /tmp/{slug}.md) plus 'return only status+path' means heavy Sonnet output never pollutes the Opus reasoning window; the lead reads files, not transcripts."
huytieu/COG-second-brain,pattern-donor,"Self-rewriting Zettelkasten KB where frameworks have a lifecycle (Emerging->Working->Stable), citations are MECHANICAL gates (any principle without >=1 source link is dropped), and monthly consolidation flips status captured->consolidated, dedups against existing frameworks, and archives superseded insights with a replacement note."
huytieu/COG-second-brain,pattern-donor,"One skill/agent surface emitted across 4 runtimes (Claude 19, Kiro 7, Gemini 7, Codex via AGENTS.md) and policed by a CI validator that enforces count parity, AGENTS.md documentation coverage, and version alignment across plugin.json/marketplace/COG-VERSION."
garrytan/gbrain,pattern-donor,"Self-wiring knowledge graph: typed edges (works_at/invested_in/attended/...) are extracted on every put_page with ZERO LLM calls via a deterministic auto-link post-hook, with full provenance (link_source, origin_page_id) on each edge — and the README claims +31.4 P@5 over a graph-disabled variant."
garrytan/gbrain,pattern-donor,"The autonomous nightly 'dream cycle' (lint->backlinks->sync->synthesize->extract->patterns->embed->orphans): a cheap Haiku verdict filters routine sessions, Sonnet subagents fan out per transcript to write reflections/originals, and a separate patterns pass emits theme pages only when >=3 reflections support a pattern — all idempotent (content-hash keyed), privacy-filtered, and spend-capped by a cooldown."
garrytan/gbrain,pattern-donor,"skill-optimizer treats SKILL.md as the trainable parameters of a frozen agent: benchmark-graded text-space optimization with a MANDATORY median-of-3+epsilon validation gate, body-only edits, atomic versioned snapshots, and bundled-skill quarantine requiring a held-out set or it hard-refuses."
garrytan/gbrain,pattern-donor,"Skillpack-as-scaffolding: after install, gbrain stops being authoritative and becomes a diffable reference library — `gbrain skillpack reference <slug>` shows identical/differs/missing per skill and a two-way merge with a loud warning, so intentional local edits survive upgrades."
garrytan/gbrain,pattern-donor,"Routing moved from a managed-table block to pure frontmatter triggers discovered by walking skills/*/SKILL.md at runtime (substring + optional embedding match), with per-skill routing-eval.jsonl fixtures testing dispatch accuracy — routing is data, not a hand-maintained table."
garrytan/gstack,pattern-donor,"Filesystem-convention document handoff with zero explicit path-passing: every skill drops a timestamped artifact in ~/.gstack/projects/$SLUG/ and the next skill rediscovers the latest by glob+timestamp — the baton is the folder, not a parameter."
garrytan/gstack,pattern-donor,"Tiered preamble injection engine: a TS resolver composes a CUMULATIVE preamble (tier1 subset of tier2 subset of tier3) per skill's declared preamble-tier, with order treated as load-bearing (a code comment ties pacing-rule order to a real regression bug)."
garrytan/gstack,pattern-donor,"review-army parallel fan-out: scope-conditional selection of up to 7+ specialist reviewers launched in a single multi-Agent message, deduped by {path}:{line}:{category} fingerprint with multi-specialist agreement raising confidence and a confidence floor suppressing noise."
garrytan/gstack,pattern-donor,Decaying taste profiles computed at READ time (5%/week) that bias future generation and actively FLAG when the current request contradicts a strong stored signal.
garrytan/gstack,pattern-donor,"Dual-voice cross-model verification (fresh-context Claude subagent + Codex with cross-phase memory) producing an explicit CONFIRMED/DISAGREE consensus table, with disagreements escalated to a human gate rather than silently resolved."
gsd-build/get-shit-done,pattern-donor,CONTEXT.md as a machine-greppable predicate registry (NAMESPACE.key=value lines) with a META.RULE forcing agent briefs to cite predicate IDs verbatim — turning a context doc into an anti-drift contract that grep and CI can both enforce.
gsd-build/get-shit-done,pattern-donor,Four-level artifact verification hierarchy (Exists → Substantive → Wired → Data-Flows) run by an adversarial 'falsify-first' fresh-context verifier — explicitly defeats the 'file exists so it's done' / stub-renders-empty-array failure mode.
gsd-build/get-shit-done,pattern-donor,Document-handoff chain RESEARCH→PLAN→SUMMARY→VERIFICATION where subagents return only a tiny status block ('## RESEARCH COMPLETE' + confidence + path) and the heavy artifact lives on disk — clean context firewall plus durable spec-as-baton.
gsd-build/get-shit-done,pattern-donor,"Context-budget hook that injects warnings into the AGENT's own stream at 35%/25% remaining and drops a recovery breadcrumb subprocess before exhaustion — making the model, not just the human, context-aware."
gsd-build/get-shit-done,pattern-donor,Provenance-tagged research with a 'slopcheck' package-legitimacy audit: any dependency found outside official docs is forced to [ASSUMED] and routed to human validation before decisions lock.
ruvnet/claude-flow,pattern-donor,"Agents coordinate through a shared 'swarm/...' memory namespace (a blackboard) rather than message passing — each agent writes swarm/<role>/status and swarm/shared/<topic> and reads peers' keys before acting, making the durable memory store the coordination substrate."
ruvnet/claude-flow,pattern-donor,"A full hook lifecycle turns Claude Code's session events into a persistence engine: SessionStart imports+vectorizes memory, Stop/SessionEnd sync insights back and regenerate a graph-ordered MEMORY.md index, PreCompact restores-then-persists around context compaction, SubagentStop folds subagent results into memory (context firewall)."
ruvnet/claude-flow,pattern-donor,"Consensus is implemented as actual agents: a Byzantine PBFT coordinator (f<n/3 fault tolerance), weighted voting where the Queen's vote counts 3x, and majority modes — agreement protocols promoted to first-class roles."
ruvnet/claude-flow,pattern-donor,"Dual-backend memory: a JSON Map store for fast CRUD plus an AgentDB SQLite+HNSW/ONNX-384 vector index for semantic recall, with keys structured as claude-memory:{project}:{file}:{section} and a cross-project 'claude-memories' namespace."
ruvnet/claude-flow,pattern-donor,"skill-builder meta-skill codifies a strict 3-level progressive-disclosure token budget (L1 ~200ch metadata always, L2 SKILL.md on trigger, L3 files on demand) as the explicit reason 100+ skills can coexist cheaply."
eugeniughelbur/obsidian-second-brain,pattern-donor,"Rewrite-not-append success metric: ingest is judged a failure if it only adds new pages — 'If an ingest only creates new pages and doesn't rewrite anything, it wasn't deep enough' — forcing the LLM to integrate into existing biographies/concepts rather than pile up notes."
eugeniughelbur/obsidian-second-brain,pattern-donor,"Bi-temporal facts as an append-only `timeline:` frontmatter array capturing both when a fact was true and when the vault learned it, enabling 'you believed X Tuesday, shifted to Z after Wednesday's ingest' reflective queries."
eugeniughelbur/obsidian-second-brain,pattern-donor,Progressive L0-L3 token-budgeted context engine (~170 tok identity -> ~120-tok CRITICAL_FACTS core -> index catalog -> daily/board state -> on-demand deep context) that lets a fresh session resume work without loading the whole vault.
eugeniughelbur/obsidian-second-brain,pattern-donor,"'For future Claude' machine-first preamble on every note + an executable lint hook (validate-ai-first.sh) that actually greps for the preamble, ai-first:true frontmatter, and banned unicode — the AI-first contract is enforced, not aspirational."
eugeniughelbur/obsidian-second-brain,pattern-donor,"Propagation matrix / two-output rule: every answer also writes back, and every write must cascade to 3-5 related notes (board, daily note, index) so the graph never accumulates orphans."
eugeniughelbur/obsidian-second-brain,pattern-donor,"One source tree compiles to six CLI runtimes via adapters/ + build.sh, each emitting a platform-native dispatcher (CLAUDE.md / GEMINI.md / AGENTS.md / .agents/skills / .pi / Hermes)."
coleam00/second-brain-starter,pattern-donor,"Lifecycle-hook memory persistence: SessionStart injects the markdown vault, while PreCompact AND SessionEnd both spawn a zero-tool background flush agent that distills the conversation into the daily log — with an os.environ['CLAUDE_INVOKED_BY'] recursion guard so a flush can't trigger another flush."
coleam00/second-brain-starter,pattern-donor,"Two-phase cost-optimized proactivity: Python gathers all integration data deterministically and only THEN invokes Claude to reason, with snapshot state-diffing so notifications fire only on change — quantified at ~$0.05/run vs ~$0.38 if Claude made live MCP tool calls."
coleam00/second-brain-starter,pattern-donor,"Python CLI wrapper isolation (query.py gmail list): every integration is a Python module with auth + query fns + a CLI subcommand, so Claude only ever receives structured data and never sees API keys, hardened by a block-secrets.py PreToolUse hook that blocks env-dumping commands and secret-file reads."
coleam00/second-brain-starter,pattern-donor,"Self-deleting BOOTSTRAP.md onboarding wizard that interviews one question at a time, writes USER.md/SOUL.md/HEARTBEAT.md, then rm's itself so it never re-runs."
coleam00/second-brain-starter,pattern-donor,"Markdown-as-source-of-truth with a layered SQLite hybrid index: canonical memory is human-readable markdown; FastEmbed/sqlite-vec + FTS5 (0.7/0.3 fusion) is just a derived retrieval layer, incrementally re-indexed only on changed files."
smixs/agent-second-brain,pattern-donor,"5-tier Ebbinghaus memory: tier (core/active/warm/cold/archive) is a frontmatter field; relevance decays as 1 - rate*days_since_access with per-type rates, access_count = 1+ln(n) slows decay, and a 'touch' promotes a card exactly ONE tier — a real spacing-effect forgetting curve implemented in markdown + a Python graph engine."
smixs/agent-second-brain,pattern-donor,"Subscription-not-API economics as an architecture: instead of per-message API calls, the system drives ONE long-lived interactive Claude Code session in tmux for the main loop, and even the parallel haiku->sonnet bootstrap swarm runs 'without API keys' through that session — explicitly replacing the deprecated claude -p pipeline to avoid Agent SDK billing."
smixs/agent-second-brain,pattern-donor,"Hybrid deterministic-script + LLM-judgment graph maintenance: graph.py computes a 0-100 health score (broken links, orphans, description coverage) deterministically and gates actions on thresholds (>=90 good, fix --apply when broken>0), while the Claude agent owns the un-scriptable parts (classification, dedup, link suggestion)."
smixs/agent-second-brain,pattern-donor,"Isolated cron-session as a context firewall: scheduled prompts run in a fresh session with zero access to live conversation, forcing fully self-contained prompts — clean separation of the always-on interactive brain from autonomous scheduled work."
smixs/agent-second-brain,pattern-donor,"Orphan-prevention as a hard CREATE invariant: a new card is only valid if it links to its domain hub plus >=2 siblings on creation, and dedup is mandated BEFORE link enrichment so the graph never links to soon-merged files."
modimihir07/agentic-os,pattern-donor,"SQLite FTS5 (Porter-stemmed memory_fts virtual table) + regex entity extraction over a flat markdown brain/ — a real DB-backed memory layer with zero vector infra, reindexed via an HTTP endpoint."
modimihir07/agentic-os,pattern-donor,"APScheduler cron engine whose jobs are individual JSON files in scheduler/jobs/, hot-reloaded by a 2-second-poll file-watcher (JobFileWatcher diffs mtimes -> fires _reload_jobs callback) so cron changes take effect without restarting the server."
modimihir07/agentic-os,pattern-donor,"Self-improving skill folder = SKILL.md + eval.json (weighted scoring criteria) + learnings.md + context/, with a weekly memory-consolidation skill that prunes each skill's score-history to the latest 20 and dedups learnings — a closed quality/learning loop."
modimihir07/agentic-os,pattern-donor,"Every skill declares Primary+Fallback runtime among three free-tier agents, so skill->agent dispatch and graceful degradation are encoded at the skill level and enforced by a constitution principle."
modimihir07/agentic-os,pattern-donor,"constitution.md (6 principles + 3 prohibitions + mandatory 7-step pre-task workflow) operationalized programmatically — Cost Consciousness becomes the cost-analytics 80/90/95% alert skill, Transparency becomes the audit log + git auto-commit."
iusztinpaul/ai-research-os-workshop,pattern-donor,"Strict context firewall by construction: ONE subagent (source_writer) is the only thing in the whole system that ever reads a raw source; everything downstream reads its synthesized Layer-1.5 page, so the heavy raw content is structurally invisible to the orchestrator and all peers."
iusztinpaul/ai-research-os-workshop,pattern-donor,"INDEX-based progressive drilling with zero vector DB — a query escalates index.yaml summary → wiki source page → user highlights → raw, stopping the moment the answer is reached, getting RAG-like selectivity purely from markdown/index traversal."
iusztinpaul/ai-research-os-workshop,pattern-donor,"Determinism where it matters: synthesis is delegated to LLM subagents, but index building (build_index_yaml.py / build_index_md.py), dedup (dedup_findings.py), and timestamp/merge handling are deterministic Python — byte-stable, idempotent, --existing-index merge — so re-runs don't drift."
iusztinpaul/ai-research-os-workshop,pattern-donor,"Self-maintaining KB: research-lint runs mechanical graph checks (orphans, missing hubs at >=3 mentions, missing comparisons at >=2 mutual links, broken wikilinks) plus LLM checks (stale/contradictory claims) and auto-appends contradictions + open-questions — the wiki audits and reconciles itself."
iusztinpaul/ai-research-os-workshop,pattern-donor,Round-based discovery with an explicit gap_analyzer between waves that grades theme coverage (well-covered/thin/missing) from metadata only and emits the next wave's queries — a planner→worker loop that narrows from broad themes to specific tools/authors over rounds.
alirezarezvani/claude-skills,pattern-donor,"Executable PM skill done right: rice_prioritizer.py is a real stdlib-only argparse CLI (CSV/'sample' in; text/json/csv out) that computes RICE and auto-buckets quick-wins vs big-bets by an impact×effort matrix — a deterministic, no-LLM tool the agent shells out to, packaged inside the skill folder."
alirezarezvani/claude-skills,pattern-donor,"Session-handoff as a hook-driven plugin: a 5-section handoff doc (Goal/State/Decisions/Skills-to-use/Artifacts) auto-injected at SessionStart via session_start.py as <handoff_from_previous_session> context and nagged for at SessionEnd — with a hard 'reference artifacts by path/commit, never duplicate' discipline and a redaction linter before save."
alirezarezvani/claude-skills,pattern-donor,"Self-improvement with a promotion ladder: patterns auto-captured to a transient MEMORY.md, then graduated only after recurring 2-3x via /si:review→human-approve→/si:promote into permanent CLAUDE.md/rules, with the MEMORY.md entry deleted to free budget — explicit transient-vs-permanent memory tiering plus a skill-extractor quarantine."
alirezarezvani/claude-skills,pattern-donor,"A binding skill-authoring contract enforced by CI: every SKILL.md must carry fixed sections (Before Starting context-checkpoint, Proactive Triggers, Output-Artifacts table, Related-Skills WHEN/NOT, confidence-tagging) and is run through audit_skills.py / derive_counters.py / check_plugin_json.py for PASS/WARN/FAIL — skills-as-product-with-QA."
alirezarezvani/claude-skills,pattern-donor,"Path-B megaprompt→skill factory: a raw expert megaprompt becomes SKILL.md verbatim, then a wrapper auto-generates the validators, 5-7-source references, a cs-* persona agent, a /cs:* command, and provenance metadata — a documented meta-pipeline that manufactures conforming skills at scale (345 of them)."
VoltAgent/awesome-claude-code-subagents,subagent-catalog,"The single most transferable idea: a uniform JSON 'context-request' template baked into every agent prompt (request_type: get_<domain>_context + a payload.query that spells out exactly which facts the role needs) — turns 'gather context' from a vague instruction into a typed, role-scoped pull request."
VoltAgent/awesome-claude-code-subagents,subagent-catalog,"Extreme template rigidity at scale: 154+ agents across 10 categories all share the same 6-part anatomy (identity → invocation protocol → 8-item checklists → Communication Protocol JSON → 3-phase workflow → collaborator list), and almost every list is forced to exactly 8 items — a content-template that makes mass authoring and consistency-checking trivial."
VoltAgent/awesome-claude-code-subagents,subagent-catalog,"Per-role model + tool tiering encoded in frontmatter: doc-generation roles (PM, scrum) get haiku and a no-Bash read/write/web allowlist; the more analytical business-analyst gets sonnet — model cost and least-privilege tools are a property of each persona file."
VoltAgent/awesome-claude-code-subagents,subagent-catalog,Each agent ships its own collaborator graph (8 named sibling agents) so the catalog self-describes hand-off paths without a central orchestrator — a decentralized router-by-convention.
VoltAgent/awesome-claude-code-subagents,subagent-catalog,Distribution as per-category plugins (claude plugin marketplace add … then install voltagent-<cat>) plus an agent-installer subagent that installs peers on demand.
wshobson/agents,subagent-catalog,"Author-once-in-markdown, generate-native-everywhere: one plugins/<name>/ source compiles via tools/adapters/*.py into 6 harness-native artifact sets, with each adapter handling model-alias mapping, body-size caps (Codex 8KB→references/), and permission/case normalization — DRY agent authoring across the whole ecosystem."
wshobson/agents,subagent-catalog,"plugin-eval three-layer quality framework: static (instant, layers/static.py) + LLM-judge over 4 semantic dimensions (layers/judge.py, ~30s/4 calls) + Monte-Carlo of ~50 real invocations (layers/monte_carlo.py) blended per-dimension with layer-specific weights (e.g. triggering_accuracy weights MC 0.60/judge 0.25/static 0.15; progressive_disclosure weights static 0.80) into a 10-dimension composite → A+–F grade + Platinum–Bronze badge."
wshobson/agents,subagent-catalog,"Real statistical rigor in stats.py: Wilson-score and Clopper-Pearson exact CIs, bootstrap percentile CI, coefficient-of-variation for consistency, and Cohen's kappa for inter-judge agreement — quality scoring treated as measurement, not vibes."
wshobson/agents,subagent-catalog,"Elo-rated skill corpus: skills carry persisted Elo ratings (corpus.py + elo.py); evaluation selects nearest-rated same-category skills as reference anchors, so quality is graded relatively against the existing catalog."
wshobson/agents,subagent-catalog,"Anti-pattern penalties applied multiplicatively to the composite (engine._assemble_composite via anti_pattern_penalty) — over-constraining language, empty descriptions, missing 'use when' triggers, and dead cross-references mechanically dock the score."
rohitg00/awesome-claude-code-toolkit,subagent-catalog,"A full Claude Code lifecycle-hook suite in one hooks.json: SessionStart context-loader, PostToolUse suggest-compact, PreCompact context-preserver, and SessionEnd learning-log that auto-commits session insights — persistence and a capture loop wired purely through harness events, no agent reasoning required."
rohitg00/awesome-claude-code-toolkit,subagent-catalog,"A dedicated context-manager agent that turns token budgeting into an explicit numeric policy (40% modified files / 20% reference / skip vendor) and defines a context-firewall handoff briefing contract that names exactly what to exclude (debug history, rejected approaches, tangents)."
rohitg00/awesome-claude-code-toolkit,subagent-catalog,"multi-agent-coordinator codifies five reusable orchestration topologies (Pipeline, Map-Reduce, Supervisor, Debate-with-judge, Iterative-Refinement) as a vocabulary over dynamically-assigned functional roles rather than hardwired agent names."
rohitg00/awesome-claude-code-toolkit,subagent-catalog,Skills-as-package-manager: 35 vendored SKILL.md folders (frontmatter preserves original author/repo) sitting atop a 'npx skills add owner/repo' CLI into a 400k-skill external marketplace — curation layer over a registry.
rohitg00/awesome-claude-code-toolkit,subagent-catalog,"PM capability is delivered as standalone role-persona files (product-manager, scrum-master, project-manager) with methodology baked in (RICE, JTBD, Given/When/Then) and hard output contracts (≥3 acceptance criteria/story, rollback criteria) — no PM skill, no PM command."
coreyhaines31/marketingskills,growth-marketing,"One shared .agents/product-marketing.md context file is the keystone: a single foundation skill writes 12 sections of positioning once, and all 44 other skills open by reading it before asking anything — eliminating context re-entry across an entire marketing workflow."
coreyhaines31/marketingskills,growth-marketing,"CLAUDE.md is literally one line ('AGENTS.md') pointing at the cross-agent doc, and AGENTS.md quarantines Claude-Code-only syntax (the !`command` context-injection trick) OUT of SKILL.md files to keep skills portable across Codex/Cursor/Windsurf."
coreyhaines31/marketingskills,growth-marketing,"Two-tier validation: a self-contained bash linter (awk frontmatter extraction + regex name/description/length/trigger-word/cross-ref checks) plus the official agentskills skills-ref validator, wired into a CI build-matrix that fans changed SKILL.md dirs out for per-skill validation."
coreyhaines31/marketingskills,growth-marketing,"A sync-skills CI job auto-derives marketplace.json, plugin.json, and the README skill table from the skills/ folder on every push and self-commits — the catalog can never drift from the actual skills."
coreyhaines31/marketingskills,growth-marketing,"51 zero-dependency Node CLIs with a universal --dry-run that echoes the redacted request without sending, giving skills a safe executable layer over GA4/Stripe/Semrush/HubSpot etc."
zubair-trabzada/ai-marketing-claude,growth-marketing,"Pure-parallel fan-out across 5 fixed analytic DIMENSIONS (not tasks): one agent per scoring axis, each with its own page-fetch + per-band 0-10 rubric, all launched simultaneously over the same shared discovery payload, then reduced by a weighted-composite formula into a single 0-100 score — a clean map-reduce where the reduce weights are the product's opinion (Content 25% > Conversion/SEO 20% > Competitive 15% > Brand/Growth 10%)."
zubair-trabzada/ai-marketing-claude,growth-marketing,"Context firewall by output contract: every subagent's prompt ends with a rigid return-block template (score table + Top Wins + Critical Fixes + Before/After + Missing), so only the compact structured summary flows back to the orchestrator while each agent's raw WebFetch dumps stay in its own context."
zubair-trabzada/ai-marketing-claude,growth-marketing,Discovery-before-dispatch: a Phase-1 business-type classifier (6 types via detection-signal table) + site page-map is computed once and injected into all 5 agents so the parallel work is steered by shared business framing rather than each agent re-deriving it.
zubair-trabzada/ai-marketing-claude,growth-marketing,"File-existence as the coordination bus: skills read/write named Markdown artifacts in cwd (COMPETITOR-REPORT.md, BRAND-VOICE.md, SEO-AUDIT.md...) and opportunistically fold in whichever exist — a zero-infra doc-handoff chain, culminating in market-report-pdf vacuuming up 9 known filenames into one JSON for the reportlab PDF."
zubair-trabzada/ai-marketing-claude,growth-marketing,"LLM-produces-JSON, code-produces-pixels: the PDF skill restricts the model to emitting an exact JSON schema, then a bundled reportlab script deterministically renders gauges/bar-charts/tables with a fixed brand palette — clean separation of judgment from rendering for client-ready deliverables."
AgriciDaniel/claude-seo,growth-marketing,"Whole-domain decomposition: one /seo entry skill routes (via a 28-row command table) to 25 narrow sub-skills, which in turn delegate to 18 tool-scoped specialist agents and ~50 deterministic Python scripts — a clean directive/orchestration/execution 3-layer split."
AgriciDaniel/claude-seo,growth-marketing,"Conditional dependency-gated fan-out: the audit orchestrator spawns 8 specialists always but gates 7 more on business-type detection, MCP/credential availability, and existence of a prior drift baseline — parallelism keyed on runtime signals, not a fixed roster."
AgriciDaniel/claude-seo,growth-marketing,Structured artifact handoff: analysis writes a typed audit-data.json envelope that a separate google_report.py step consumes to render a charted A4 PDF — the JSON is the baton between agent reasoning and deterministic report rendering.
AgriciDaniel/claude-seo,growth-marketing,"SQLite-backed drift memory: baselines.db stores SHA-256-hashed page snapshots with URL-normalization and a 17-rule comparison engine, giving the agent cross-session memory of a site's SEO state to detect regressions."
AgriciDaniel/claude-seo,growth-marketing,"Portability as a first-class design goal: identical skill/agent markdown is auto-discovered by Claude Code, Cursor, Antigravity and Gemini CLI via plugin.json + AGENTS.md, and delegation degrades to inline sequential execution when a harness lacks subagents."
agentii-ai/growth-hacking-kit,growth-marketing,"A domain-transfer of Spec-Kit: the entire spec→plan→tasks→implement scaffold is kept verbatim but the 'tests' and 'success criteria' slots are re-bound to growth metrics (k-factor, time-to-wow, NRR) and the constitution to growth principles — showing how a coding-agent OS can be re-skinned to a non-code function without changing the orchestration machinery."
agentii-ai/growth-hacking-kit,growth-marketing,Constitution-as-gate: 7 principles compiled into explicit Mandatory vs Advisory 'Constitution Check Gates' that the plan command must pass before Phase-0 research and that BLOCK implementation unless a violation is justified in a Complexity Tracking section — anti-drift governance with a fail-closed default.
