Repo,Scope,Takeaway
snarktank/ai-dev-tasks,pm-framework,"Make clarifying questions answerable in one line: numbered questions + lettered options ('reply 1A, 2C') dramatically lowers the cost of the intake gate and is directly reusable for any AI-PM discovery/brief skill."
snarktank/ai-dev-tasks,pm-framework,"Put a hard human checkpoint ('respond Go', 'approve before next sub-task') between plan and execution — a one-sentence prompt rule that turns autonomous agents into reviewable assistants without any tooling."
snarktank/ai-dev-tasks,pm-framework,Use the work-artifact itself (a checkbox task file) as the progress ledger: editing `[ ]`→`[x]` after each step means a fresh session can resume from the file alone — a zero-infrastructure substitute for session-handoff memory.
snarktank/ai-dev-tasks,pm-framework,"Bake non-negotiable hygiene into the template (task 0.0 = create feature branch; every code file paired with a test file) so good practice is the default output, not a reviewer's afterthought."
snarktank/ai-dev-tasks,pm-framework,"Target outputs at a 'junior developer' reader to force explicitness — a simple, transferable forcing function for de-jargoning any spec or task list."
anombyte93/prd-taskmaster,pm-framework,"Make 'done' provable, not asserted: pair every AI-PM deliverable with a deterministic gate — for a PRD, a placeholder/coverage linter that floors the grade and exits non-zero; for shipped work, a re-execution oracle. The unfakable token (SHIP_CHECK_OK) is a teachable model for 'definition of done as code.'"
anombyte93/prd-taskmaster,pm-framework,Letter-grade rubric + reasoned-exception escape: EXCELLENT/GOOD/ACCEPTABLE/NEEDS_WORK with a HARD placeholder rule that still allows deferral IF tagged `reason:` is a clean pattern for enterprise PRD quality bars that avoids both hallucinated completeness and bureaucratic rigidity.
anombyte93/prd-taskmaster,pm-framework,Stateless orchestrator + state-file pipeline: keeping routing logic out of the model and in a pipeline.json that every phase re-reads makes long multi-phase PM workflows resilient to context compaction — a directly transferable design for any multi-step agentic PM playbook.
anombyte93/prd-taskmaster,pm-framework,Carry typed constraints from discovery into the spec and gate on their presence: the CONSTRAINTS CAPTURED → must-appear-in-PRD check is a concrete anti-drift mechanism worth copying for requirements traceability.
anombyte93/prd-taskmaster,pm-framework,First-match single-recommendation handoff using AskUserQuestion as the durable decision record (not prose) — a good UX pattern for AI-PM tools that must hand off to humans/other tools without false 'equal options' paralysis.
anombyte93/prd-taskmaster,pm-framework,"Token-economy routing (complexity→cheapest-capable model, escalate only on failure, telemetry that PROVES savings) is the budget story corporate enablement programs need to justify agent fleets."
anombyte93/prd-taskmaster,pm-framework,"Least-privilege, return-only subagents: the research-expander's read-only toolset + 'parent does the writeback' is a safe template for fan-out research agents in a PM context (e.g. competitor/market research per task)."
eyaltoledano/claude-task-master,pm-framework,"Make the PRD/spec the durable artifact and generate everything downstream from it: an AI-PM enablement program can ship a 'parse-spec → structured backlog' command where the written brief is parsed once into a typed, dependency-aware task list that all later steps execute against — no re-reading the brief into context."
eyaltoledano/claude-task-master,pm-framework,"Model the work item as a rich typed object, not a title string: include acceptance criteria, test strategy, dependencies, scope boundaries, and a free-form metadata block that survives edits. This single object then doubles as the context packet passed between any agents/people working the item."
eyaltoledano/claude-task-master,pm-framework,"Separate plan / execute / verify into three role agents with deliberate model tiering and tool scoping — a planner on the strong model, cheaper executors, and a read-only verifier that can only flag against the spec. The read-only constraint is what makes the review trustworthy."
eyaltoledano/claude-task-master,pm-framework,Bake the methodology into the tool: complexity scoring (1-10) that auto-recommends a subtask count and a tailored breakdown template per work type (feature/bug/refactor) turns 'estimate and decompose' from tribal knowledge into a repeatable command.
eyaltoledano/claude-task-master,pm-framework,"Ship the same engine across every surface (CLI + MCP + plugin) from one logic core so a PM org isn't locked to one editor/agent — and so behavior is identical whether someone uses Cursor, Claude Code, or a terminal."
eyaltoledano/claude-task-master,pm-framework,"A small command-chaining DSL (sequence, store/recall state, conditionals, parallel+join) lets non-engineers compose multi-step PM workflows as one spec instead of running commands by hand."
sdi2200262/agentic-project-management,pm-framework,Externalize ALL project state into a scaffolded folder (spec / plan / tracker / indexed memory) so AI agents are stateless executors — this is what makes 'continue tomorrow in a fresh session' actually work without re-briefing; directly transferable to an AI-PM enablement repo where PMs hand work between days/people.
sdi2200262/agentic-project-management,pm-framework,"Adopt the Planner→Manager→Worker split: one agent owns requirements (Spec/Plan/Rules), one owns dispatch+review, scoped workers do the doing — a clean mental model for teaching PMs how to decompose an AI-assisted initiative into roles instead of one mega-prompt."
sdi2200262/agentic-project-management,pm-framework,"Make Task Prompts self-contained with an enforced frontmatter contract (ids, output path, dependency flag, validation criteria) and a same-agent vs cross-agent rule for how much context to inline — a reusable template for delegating any unit of work to an AI worker without ambiguity."
sdi2200262/agentic-project-management,pm-framework,Use a two-artifact handoff (a 'what happened / what's left' log + a reconstruction prompt) at context-window boundaries; teach this as the standard way to keep a long AI-PM engagement coherent across sessions and across people.
sdi2200262/agentic-project-management,pm-framework,Keep command files thin and push the actual method into shared guide docs that commands cite — separating 'how to do context-gathering / work-breakdown / task-review' from 'when to run it' keeps a growing skill library readable and maintainable.
sdi2200262/agentic-project-management,pm-framework,Ship one skill body that installs into every harness's skill dir (.claude/.cursor/.github/.agents/.opencode) via a CLI installer — the right packaging model for rolling an AI-PM toolkit out across a company with mixed tooling.
sdi2200262/agentic-project-management,pm-framework,"Spawn a fresh-context subagent that reads bulky history (archives/logs) and returns only a fixed-schema synthesis plus verification handles — gives PMs the recall benefit without polluting the main thread, and the spot-check handles guard against acting on stale context."
rodrigorjsf/prd-generator-plugin,pm-framework,"Make a written spec the durable artifact and compile it into project-local guardrails: an AI-PM enablement program can generate per-project 'enforcement skills/checklists' (PRD-compliance, domain-rules, compliance) that later coding sessions must load — so the PRD keeps governing implementation instead of rotting."
rodrigorjsf/prd-generator-plugin,pm-framework,"Use a fresh-context adversarial validator for any AI-generated claim that feeds a decision: spawn a clean-context reviewer with ONLY the claims + sources (no project memory) to break confirmation bias, with a bounded re-do loop and an explicit 'partially validated' fallback so it never hard-blocks delivery."
rodrigorjsf/prd-generator-plugin,pm-framework,Thread one typed context_packet JSON through the whole workflow and hand each agent only its slice — never re-feed full conversation history; this is both a token-efficiency and a determinism lever.
rodrigorjsf/prd-generator-plugin,pm-framework,"Bake source-discipline into research agents with an explicit blocked_domains list + an is_official flag + a verify-the-URL step, so generated PM artifacts cite vendor/standards/gov sources rather than blogs."
rodrigorjsf/prd-generator-plugin,pm-framework,"Version every generated doc/skill (prd_version + Evolution Log) and add a cheap drift gate that warns when artifacts fall out of sync — making documentation staleness a detectable, actionable signal rather than silent rot."
rodrigorjsf/prd-generator-plugin,pm-framework,"Ship a delta-aware 'evolve' command: when scope changes, classify the change, compute affected artifacts, and regenerate ONLY those in parallel while reporting what was preserved — cheaper and safer than full regeneration."
rodrigorjsf/prd-generator-plugin,pm-framework,One-question-at-a-time structured interrogation across fixed blocks (with explicit 'skip -> record Known Gaps') is a reusable intake pattern for any PM tool that must elicit messy requirements before generating.
cdeust/ai-prd-generator-plugin,pm-framework,"Encode the deliverable as a numbered, machine-checkable output contract (here 64 rules across structure/traceability/security/testing) plus a mandatory pre-delivery self-check that fixes violations — this is the single biggest lever for getting consistent, audit-ready PM artifacts out of an LLM."
cdeust/ai-prd-generator-plugin,pm-framework,"Adopt an honest verdict taxonomy and explicitly ban universal-PASS: forcing PASS/SPEC-COMPLETE/NEEDS-RUNTIME/INCONCLUSIVE/FAIL labels on claims is a cheap, powerful anti-confirmation-bias mechanism any enablement program can lift."
cdeust/ai-prd-generator-plugin,pm-framework,"Gate generation behind a real elicitation loop: ask structured clarification questions (via a structured-question tool, fixed option/header limits) and refuse to generate until the user explicitly says proceed — plus a scope/feasibility gate that negotiates down oversized asks before any work."
cdeust/ai-prd-generator-plugin,pm-framework,Scale rigor to artifact type with a small static table (sections / questions / research-depth / strategy per document type) rather than treating every doc the same — a proposal and an incident postmortem should not get identical depth.
cdeust/ai-prd-generator-plugin,pm-framework,"Tier verification by cost: run free deterministic structural checks first (graph cycles, broken traceability, story-point math), then spend LLM/judge calls only on the claims that survive — and instrument which reasoning strategies actually move confidence so the method improves over time."
cdeust/ai-prd-generator-plugin,pm-framework,"Make the codebase itself first-class context: an /index-codebase step that extracts architecture patterns + entities + dependencies into a hybrid BM25+vector store, then forces every technical requirement to trace to a real code finding, prevents architecture-blind PRDs."
Fission-AI/OpenSpec,pm-framework,"Make the PM workflow a versioned artifact contract: define stages (problem-brief -> PRD -> design -> task-breakdown) once in a YAML/JSON schema with explicit requires[] gates, and let one engine enforce ordering — so every PM produces the same shaped artifacts and a downstream step can't start before its inputs exist."
Fission-AI/OpenSpec,pm-framework,"Folder-per-initiative with a propose/apply/archive lifecycle is a clean mental model for AI-PM work: an active change folder holds the living proposal+spec+tasks, and archiving reconciles deltas into a durable source-of-truth spec tree — gives provenance and a tidy 'current state vs in-flight' separation."
Fission-AI/OpenSpec,pm-framework,Separate the durable spec store from in-flight deltas: never let an agent overwrite canonical specs; have it emit ADDED/MODIFIED/REMOVED deltas that are reviewed and merged on completion. This is how you keep an LLM-maintained KB trustworthy.
Fission-AI/OpenSpec,pm-framework,"Push rules to a CLI/tool the agent calls just-in-time rather than a bloated system prompt — give the agent `get-instructions <stage>` and `get-status` commands so it pulls only the current step's template + rules, keeping context small and the workflow enforceable in code."
Fission-AI/OpenSpec,pm-framework,"Author one workflow and fan it out to every harness your org uses via an adapter layer + auto-detection, plus an `init`/`update`/`validate` CLI, so the same PM process installs identically into Claude Code, Cursor, Copilot, etc. and a linter gates output format."
Fission-AI/OpenSpec,pm-framework,"Add an explicit 'explore' (thinking-partner) command before 'propose' to legitimize the divergent/diagnosis phase as a distinct, non-committal step in the AI-PM ritual."
buildermethods/agent-os,pm-framework,Extract context from artifacts you already have rather than asking PMs to author docs from scratch: a 'discover-standards'-style pass that reads existing specs/PRDs/decks and proposes documented conventions (asking 'why' per pattern) is a high-yield onboarding move for an AI-PM enablement program.
buildermethods/agent-os,pm-framework,"Use a lightweight YAML/markdown index as the retrieval layer before reaching for a vector DB — a `index.yml` of {category: {doc: one-line-description}} plus a 'read index, then load only the 2-5 relevant docs' rule gives progressive disclosure with zero infra."
buildermethods/agent-os,pm-framework,Make planning artifacts self-contained and discoverable: a fixed spec-folder shape (decisions / plan / applicable-standards / reference-examples / visuals) with a 'save the spec before doing any work' gate keeps AI work auditable and resumable.
buildermethods/agent-os,pm-framework,"Separate user-invoked /commands from auto-fired skills, and have an injection command that adapts its OUTPUT format to the scenario (inline vs embed-in-skill vs embed-in-spec) — the same knowledge served three ways by context."
buildermethods/agent-os,pm-framework,"Right-size the framework to the model's current weaknesses: agent-os v3's choice to retire its own orchestration/subagents because frontier models now do that natively is a useful enablement-program lesson — invest enablement effort where tools are still weak (org-specific standards, spec quality), not where they're already strong."
buildermethods/agent-os,pm-framework,"Treat token economy as an authoring standard ('lead with the rule, code over prose, skip the obvious') so injected context stays cheap and scannable."
huytieu/COG-second-brain,pattern-donor,"Ship ONE loop-engineering reference doc and have every iterative skill cite it: standardizing Gather-Act-Observe-Verify-Update-Decide + layered termination + 'never trust the agent's self-report' makes agent reliability a reusable contract, not per-skill folklore — directly transferable to a corporate AI-PM enablement playbook."
huytieu/COG-second-brain,pattern-donor,Adopt the Worker Output Rule verbatim: a <2K-inline / >=2K-to-file threshold with status+path returns is the cheapest possible context-firewall and keeps an expensive reasoning model's window clean during multi-step PM workflows.
huytieu/COG-second-brain,pattern-donor,"Model-tier the team: cheap model for collection/I/O/publishing/pre-approved mutations, frontier model for synthesis/judgment, encoded as an ALWAYS-APPLY routing table in the root instruction file — a concrete cost lever for any enablement program running at scale."
huytieu/COG-second-brain,pattern-donor,"Make citations mechanical gates, not etiquette: '[Source: [[note]] | date | confidence]' on every durable claim, and drop any synthesized principle lacking >=1 source link — an anti-hallucination control that's auditable and teachable."
huytieu/COG-second-brain,pattern-donor,Tier people/entity profiles by counted evidence (stub->moderate->full) and keep them append-only + source-cited so they stay shareable; gives PMs a stakeholder/CRM memory that grows honestly instead of speculating.
huytieu/COG-second-brain,pattern-donor,"Package the same skill surface across runtimes and police it with a CI validator (count parity, every skill documented in the universal AGENTS.md fallback, version alignment) — the model for distributing a PM-OS to a mixed-tool org without surface drift."
huytieu/COG-second-brain,pattern-donor,Drive every skill off two tiny config files (MY-PROFILE.md role/projects/agent_mode + MY-INTEGRATIONS.md active/disabled tools) so behavior personalizes and degrades gracefully (solo vs team) per user with zero code changes.
garrytan/gbrain,pattern-donor,"Separate compiled_truth (synthesized, cited assessment) from a raw dated timeline on every entity page, and enforce a source-precedence ladder (user statements > compiled truth > timeline > external) — a clean, teachable pattern for PM knowledge pages (accounts, features, competitors) where 'what we currently believe' must be distinguishable from 'the raw evidence'."
garrytan/gbrain,pattern-donor,"Make the query layer RETURN A CITED ANSWER WITH EXPLICIT GAP FLAGS, not a list of documents: a contract that bans hallucination, requires a slug-traceable [Source: ...] on every claim, and says 'the brain doesn't have information on X' rather than guessing — directly portable to a corporate PM Q&A assistant."
garrytan/gbrain,pattern-donor,"Routing as data, not a maintained table: discover skills at runtime by parsing YAML 'triggers:' frontmatter and ship a per-skill routing-eval.jsonl that CI-tests dispatch accuracy. An AI-PM enablement program can grow its skill library without an ever-growing hand-edited router."
garrytan/gbrain,pattern-donor,"Self-wiring typed-edge graph with zero-LLM extraction: parse [Name](people/slug) links and infer relationship types deterministically on write, then expose graph-query for 'who works at / who invested in / who attended'. Cheap, auditable relationship memory for stakeholder/account graphs without an LLM-extraction bill."
garrytan/gbrain,pattern-donor,"Treat skill files as improvable artifacts: a validation-gated, budget-capped optimizer (median-of-3 + held-out set) that rewrites only the skill body and quarantines bundled skills behind explicit flags — a governance model for letting an enablement team safely auto-improve prompts."
garrytan/gbrain,pattern-donor,"An always-on ambient capture subagent (fires every message, never blocks the reply, captures verbatim original thinking + entities) plus a nightly consolidation cycle that filters with a cheap model and synthesizes with a frontier model — the capture+consolidation loop a PM 'second brain' needs to stay current without manual filing."
garrytan/gbrain,pattern-donor,"Durable, observable, steerable background work as a Postgres queue with token accounting and mid-flight steering, gated by a 'pain-triggered' policy (native subagent first, durable queue only when restarts/parallelism/long-runtime/state-drop actually hurt) — a pragmatic default that avoids over-engineering orchestration."
garrytan/gbrain,pattern-donor,"Keep the root instruction file as orientation + a load-on-demand reference map, and ENFORCE the size cap in CI — gbrain explicitly documents that its own CLAUDE.md ballooned to 147k tokens as an append-only index and fixed it with a guard. The cautionary tale plus the fix is the whole CM-01/progressive-disclosure lesson in one repo."
garrytan/gstack,pattern-donor,"Model a PM 'team' as a roster of named-role slash commands (discovery PM, strategy lead, design critic, QA, security) wired into a fixed lifecycle, rather than one mega-prompt — the sprint chain (Think->Plan->Build->Review->Test->Ship->Reflect) is the enablement product."
garrytan/gstack,pattern-donor,Use a filesystem-convention handoff: each skill writes a timestamped artifact to a per-project folder and the next skill auto-discovers the latest by glob+timestamp — eliminates fragile path-passing and makes the doc the source of truth (directly portable to PRD->design->build->review chains).
garrytan/gstack,pattern-donor,"Adopt a tiered always-loaded preamble: declare a tier per skill and compose cumulative shared context (voice, output-completeness contract, confusion protocol, capture loop) so every skill inherits org standards without duplicating them in each prompt."
garrytan/gstack,pattern-donor,"Encode self-improvement cheaply: append-only JSONL learnings/decisions per project, dedup by (key,type) latest-wins, decay confidence at read-time, and surface the top-N at skill start — a lightweight 'org memory' a PM team can run without a vector DB."
garrytan/gstack,pattern-donor,"Gate quality with a fresh-context reviewer subagent that scores the artifact on fixed dimensions and re-dispatches until PASS (max N), logging unresolved 'Reviewer Concerns' into the doc — a placeholder-proof, anti-confirmation-bias contract for PRDs and decision memos."
garrytan/gstack,pattern-donor,Provide an unattended 'auto-decide principle set' so a workflow can run end-to-end while still escalating only genuine 'user-challenge' decisions to a human gate — lets enablement scale from hand-held to autonomous.
gsd-build/get-shit-done,pattern-donor,"Make the spec the durable artifact and run each stage in a fresh-context subagent that reads the prior doc and writes the next (RESEARCH→PLAN→SUMMARY→VERIFICATION); the orchestrator only ever sees compact status blocks, which keeps long programs from drowning the main context."
gsd-build/get-shit-done,pattern-donor,"Encode an adversarial verifier as a distinct fresh agent with a falsify-first stance and a concrete evidence ladder (exists→substantive→wired→data-flows) so 'done' means observable behavior, not checked boxes — directly transferable to reviewing PM deliverables (PRD claims, dashboards, GTM artifacts) for hollowness."
gsd-build/get-shit-done,pattern-donor,"Keep team knowledge in one greppable predicate doc where each fact is an addressable ID and briefs must cite IDs verbatim — gives an AI-PM org an anti-drift, audit-traceable single source of truth that both humans and agents load fresh before any task."
gsd-build/get-shit-done,pattern-donor,"Split user-invoked /commands (with explicit argument-hint flag grammar and a requires: dependency list) from spawned agents (markdown+frontmatter with least-privilege tool allowlists) — a clean mental model for an enablement program: commands are the menu, agents are the workers."
gsd-build/get-shit-done,pattern-donor,Tag every research claim with provenance/confidence ([VERIFIED]/[CITED]/[ASSUMED]) and force anything unverified into a human-validation gate before decisions lock — a lightweight anti-hallucination discipline any PM research workflow can adopt.
gsd-build/get-shit-done,pattern-donor,"Make context budget a first-class, agent-visible signal (inject warnings into the agent stream, snapshot state before exhaustion) rather than a silent failure — useful for long unattended PM automations."
ruvnet/claude-flow,pattern-donor,"Use a shared, addressed memory namespace (a blackboard like swarm/<role>/status, swarm/shared/<decision>) as the team's coordination substrate so PM sub-agents publish status/decisions to predictable keys and read peers before acting — decoupled and auditable, no brittle hand-offs."
ruvnet/claude-flow,pattern-donor,"Wire Claude Code lifecycle hooks (SessionStart import, Stop/SessionEnd sync, PreCompact restore-then-persist, SubagentStop capture) to make memory survive compaction and session boundaries automatically — the single biggest reliability win for long PM workstreams."
ruvnet/claude-flow,pattern-donor,"Define agents as plain markdown + minimal YAML frontmatter (name + a what/when description) with a Responsibilities / Approach / Collaboration body that names sibling agents — cheap to author, easy to review, version-controllable."
ruvnet/claude-flow,pattern-donor,"Adopt the 3-level progressive-disclosure budget for skills (tiny always-on metadata, SKILL.md on trigger, reference files on demand) so a large skill library doesn't bloat context — and ship a skill-builder meta-skill so the team can generate compliant new skills."
ruvnet/claude-flow,pattern-donor,"Make the written spec/ADR the binding source of truth with an explicit precedence rule (ADR governs architecture, SPEC governs scope) baked into each doer agent's prompt — a concrete anti-drift gate for AI-PM teams."
ruvnet/claude-flow,pattern-donor,"Promote review/consensus to named agents (a critic/Byzantine-style verifier, weighted voting) rather than ad hoc prompts when multiple agents must agree on a decision."
eugeniughelbur/obsidian-second-brain,pattern-donor,"Define an always-loaded ~120-token CRITICAL_FACTS core (role, manager, org, timezone, location) plus a progressive L0-L3 context loader so every PM session bootstraps the same shared identity without re-explaining; cap each tier with an explicit token budget."
eugeniughelbur/obsidian-second-brain,pattern-donor,"Make notes machine-first: mandate a 'For future Claude' 2-3 sentence preamble + structured frontmatter on every artifact, and enforce it with a cheap lint hook (grep for the preamble, required fields, banned unicode) rather than trusting the model to comply."
eugeniughelbur/obsidian-second-brain,pattern-donor,"Adopt a two-output rule + propagation matrix: every answer also writes back to the knowledge base and must cascade to 3-5 related pages, so a PM team's wiki self-maintains and never accumulates orphan notes."
eugeniughelbur/obsidian-second-brain,pattern-donor,"Use bi-temporal facts (a timeline array recording valid-time and ingest-time) for decisions and competitive intel so the org can answer 'what did we believe, and when did it change' — invaluable for post-mortems and strategy drift."
eugeniughelbur/obsidian-second-brain,pattern-donor,Set a rewrite-depth quality bar for ingestion: judge a research/ingest task as incomplete if it only appended new pages and rewrote nothing — this forces synthesis over note-hoarding.
eugeniughelbur/obsidian-second-brain,pattern-donor,"Ship one skill source that compiles to multiple CLIs via an adapters/+build.sh layer, so a corporate enablement pack isn't locked to a single vendor (Claude Code / Codex / Gemini / OpenCode)."
eugeniughelbur/obsidian-second-brain,pattern-donor,"Run scheduled background agents (nightly reconcile/synthesize/heal-orphans, weekly review, health audit) so the knowledge base improves unattended — the maintenance burden is automated, not assigned to a person."
eugeniughelbur/obsidian-second-brain,pattern-donor,"For decisions, use a disagreement-preserving advisor panel that surfaces the split instead of papering over it — more honest input to PM trade-off calls than a forced-consensus committee."
coleam00/second-brain-starter,pattern-donor,"Ship a memory-layer template set (SOUL/USER/MEMORY/daily) as the starting scaffold for any AI-PM agent so identity, profile, and decision-history persist across sessions without re-prompting — and load them via a SessionStart hook, not manual paste."
coleam00/second-brain-starter,pattern-donor,"Use PreCompact + SessionEnd hooks that spawn a zero-tool 'flush' agent to distill each session into an append-only log — the durable, cheap way to give an enablement-program agent real continuity instead of relying on the context window."
coleam00/second-brain-starter,pattern-donor,"Adopt the two-phase proactive loop (deterministic Python gather → LLM reason → state-diff → notify only on change) as the template for any 'always-watching' PM assistant; it makes proactivity affordable and non-spammy, with a concrete cost delta to cite."
coleam00/second-brain-starter,pattern-donor,Standardize integrations as Python CLI wrappers (query.py <platform> <subcommand>) so the LLM only ever sees structured data and never credentials — pair with a PreToolUse block-secrets hook as the security story for a corporate rollout.
coleam00/second-brain-starter,pattern-donor,Encode a calibrated autonomy menu (Observer/Advisor/Assistant/Partner) in the requirements/elicitation step so each user explicitly sets how bold the agent may be — a clean governance pattern for enterprise AI-PM deployments.
coleam00/second-brain-starter,pattern-donor,Make onboarding a self-deleting BOOTSTRAP wizard that interviews once and writes the config files — lowers setup friction for non-technical PMs while keeping each agent personalized.
coleam00/second-brain-starter,pattern-donor,"Treat the PRD itself as the deliverable: a skill that interviews + researches APIs + emits a phased, personalized build plan is a strong template for 'AI-PM jumpstart' programs where the output is an executable spec, not code."
smixs/agent-second-brain,pattern-donor,"Give the agent a fixed bootstrap read-order (long-term memory -> recent dailies -> current-period goals -> handoff) so every session reconstructs context deterministically instead of re-deriving it — a cheap, copyable continuity pattern for any AI-PM workspace."
smixs/agent-second-brain,pattern-donor,"Model memory with explicit decay + tiers, not an ever-growing log: a frontmatter 'tier' field + per-type decay rates + 'touch promotes one tier' keeps a knowledge base self-pruning so stale items fade and active ones stay hot — directly transferable to a PM's accounts/initiatives/notes."
smixs/agent-second-brain,pattern-donor,"Split deterministic metrics from LLM judgment: let a script compute a 0-100 'knowledge-base health score' (broken links, orphans, description coverage) and gate agent actions on thresholds — gives a corporate program objective, auditable KB-quality SLAs."
smixs/agent-second-brain,pattern-donor,"Enforce output contracts hard ('raw HTML only, 6-tag allowlist, <=4096 chars, idempotent if already-processed marker present') — a clean template for making agent outputs safe to pipe into downstream channels (Slack/Teams/Telegram) at scale."
smixs/agent-second-brain,pattern-donor,Run a cheap-model->frontier-model two-wave swarm (haiku triage in ~50K-token batches -> sonnet validation via map-reduce) to classify a large unstructured corpus affordably — a reusable bootstrap recipe for onboarding a backlog of legacy docs.
smixs/agent-second-brain,pattern-donor,"Use an isolated, fully self-contained scheduled-session pattern for autonomous recurring work, kept separate from the interactive session — the model for 'always-on' PM routines (digest, inbox triage) that must not leak or depend on live chat state."
modimihir07/agentic-os,pattern-donor,"A flat markdown brain/ (business context, active projects, recent decisions, identity, constitution) indexed by SQLite FTS5 gives an AI-PM enablement program durable, searchable team memory with no vector-DB overhead — and a one-file constitution.md is a cheap, powerful anti-drift gate."
modimihir07/agentic-os,pattern-donor,Make every skill a folder with SKILL.md + eval.json + learnings.md so skills carry their own success criteria and accumulated lessons; a weekly consolidation job that dedups learnings and prunes score-history turns a skill library into a self-improving asset rather than static prompts.
modimihir07/agentic-os,pattern-donor,"Declare Primary+Fallback runtime per skill: this is how you let one skill catalog run across multiple model tiers (cheap-for-triage, frontier-for-reasoning) and survive any single provider outage — directly transferable to enterprises hedging across vendors."
modimihir07/agentic-os,pattern-donor,"Drop-in JSON cron files + a file-watcher hot-reload pattern lets non-engineers schedule recurring agent routines (daily standup, weekly memory consolidation, cost audits) by adding a file — a low-friction automation surface for a PM team."
modimihir07/agentic-os,pattern-donor,Operationalize governance: turn each principle into a concrete mechanism (Transparency -> audit log + git auto-commit; Cost Consciousness -> 80/90/95% spend alerts; Resilience -> per-skill fallback). Principles that map to running code actually constrain behavior.
iusztinpaul/ai-research-os-workshop,pattern-donor,"Make 'one agent owns the raw input, everyone else reads its summary' a default pattern — a corporate AI-PM KB should never let a 50-page PRD or a long call transcript leak into every downstream agent; designate a single ingest-writer and a fixed summary page contract."
iusztinpaul/ai-research-os-workshop,pattern-donor,Adopt INDEX-based progressive disclosure (index.yaml summary → page → highlights → raw) as the cheap-but-good alternative to standing up a vector DB for an internal product-knowledge wiki — most PM Q&A is answerable at the index/summary layer.
iusztinpaul/ai-research-os-workshop,pattern-donor,"Split the pipeline into LLM-for-synthesis and deterministic-Python-for-bookkeeping (index build, dedup, merge, timestamps) so the KB is idempotent and byte-stable across re-runs — critical for a shared, version-controlled team artifact."
iusztinpaul/ai-research-os-workshop,pattern-donor,"Ship a lint/health skill alongside the writer skill: mechanical graph checks (orphans, missing hub pages above a mention threshold, broken links) + LLM checks (stale/contradictory claims) keep an LLM-maintained KB from rotting as it grows."
iusztinpaul/ai-research-os-workshop,pattern-donor,"Gate KB structure on corroboration: only promote a concept/person/tool to its own page when it's mentioned across >=2 distinct sources — a simple, transferable rule that keeps a product-knowledge graph signal-dense."
iusztinpaul/ai-research-os-workshop,pattern-donor,Use an explicit between-rounds gap-analyzer that grades coverage and writes the next queries from metadata only — a clean template for any iterative competitive/market-research workflow where you want depth presets (fast/light/deep) the PM can dial.
iusztinpaul/ai-research-os-workshop,pattern-donor,Preserve human edits in machine-rewritten docs via <!-- KEEP --> markers and byte-identical noop skips — essential for trust when agents continuously rewrite shared wiki pages.
alirezarezvani/claude-skills,pattern-donor,"Ship PM frameworks as executable, stdlib-only CLIs (RICE, ICE, opportunity scoring) the agent shells out to — deterministic math beats asking the LLM to 'compute' a score, and the tool runs offline with --sample self-tests; mandate a --help/--sample smoke test as the acceptance gate."
alirezarezvani/claude-skills,pattern-donor,"Adopt a one-page binding SKILL.md contract (Before-Starting context checkpoint, Proactive Triggers, Output-Artifacts table, Related-Skills WHEN/NOT disambiguation, 🟢/🟡/🔴 confidence tagging) and enforce it with a CI checklist runner — this is how you keep a corporate skill library consistent across many authors."
alirezarezvani/claude-skills,pattern-donor,"Bake session continuity into hooks, not habits: a SessionStart hook that injects a structured 5-section handoff (Goal/State/Decisions/Skills/Artifacts) and a SessionEnd nudge if none was written — with a 'reference by path, never duplicate' rule to keep handoffs token-cheap."
alirezarezvani/claude-skills,pattern-donor,"Use a transient→permanent memory promotion ladder: cheap MEMORY.md auto-capture, then human-approved graduation to the governing CLAUDE.md only after a pattern recurs, deleting the transient entry — gives a self-improving program without unbounded context growth or unvetted rules."
alirezarezvani/claude-skills,pattern-donor,"Pair every skill with a named persona agent (least-privilege tool allowlist, model:inherit) and a slash command, and keep an explicit commands-vs-skills split so PMs get both auto-invocation and a discoverable manual surface."
alirezarezvani/claude-skills,pattern-donor,Enforce 'no silent chaining': orchestrators ask one recommended-answer question before routing below a confidence threshold — a safer default than autonomous multi-agent fan-out for enterprise rollout.
alirezarezvani/claude-skills,pattern-donor,"A megaprompt→skill conversion pipeline lets you industrialize: capture an expert's prompt, drop it in verbatim as SKILL.md, and auto-wrap validators/references/agent/command/provenance — the fastest path from tribal knowledge to a governed skill."
VoltAgent/awesome-claude-code-subagents,subagent-catalog,"Give every AI-PM agent a fixed 'context-request' template it must fill before producing output — a JSON or bullet block enumerating the exact facts that role needs (vision, target users, metrics, success criteria). It doubles as a checklist for the human PM of what context to supply and prevents the agent from inventing missing facts."
VoltAgent/awesome-claude-code-subagents,subagent-catalog,"Adopt one rigid agent-anatomy across the whole enablement library: identity → invocation steps → fixed-length domain checklists → context protocol → 3-phase workflow → named collaborators. Uniformity makes agents skimmable, reviewable, and lint-able, and lowers the authoring cost of adding the next role."
VoltAgent/awesome-claude-code-subagents,subagent-catalog,Encode model + tool allowlist per persona in frontmatter (cheap model + read/write/web only for doc-generation roles; stronger model for analytical roles) — bakes cost control and least-privilege into each agent rather than leaving it to runtime config.
