Rank,Place,County,Type,TOTAL SCORE,Crime & safety,Schools,Rent cost,Close to SF,School/TK place,Urban density,2BR median rent $,3BR median rent $,2BR under $4k (est. listings),2BR under $4k supply,3BR under $4k (est. listings),3BR under $4k supply,Violent crime /1k,Property crime /1k,Elementary district,Elementary CAASPP % met,Elementary rating /10,Middle/high district,Middle/high CAASPP % met,Middle/high rating /10,"Drive to Ferry Bldg (min, off-peak)",Miles to SF (straight line),Urbanicity index,Population,District enrolment change 2023-25 %,School assignment system,TK capacity,Rank status,Sources,Notes
54,Santa Clara,Santa Clara,City,55.6,83.6,65.3,44.3,27.9,30.0,82.8,3665,5031,62% of 2BR stock,Plenty,21% of 3BR stock,Few,3.1,9.3,Santa Clara Unified,58.0,8,Santa Clara Unified,52.4,8,50.7,38.8,571369,127647,2.9,address-based attendance area (with an optional open-enrollment lottery layered on top for transfers),"CONSTRAINED — ""Students will be placed at one of the TK sites based on availability"" (stated twice); TK runs at ""most SCUSD elementary school sites"", not all; and ""Open Enrollment does not apply to Transitional Kindergarten students"", so the K-12 choice route is unavailable for TK",Ranked,crimegrade.org; CAASPP 2025 (CDE); santaclarausd.org,"enrolment +2.9% 2023-25 (flat); address-based assignment; TK constrained; CITY vs COUNTY collision explicitly resolved — this is the biggest trap in the batch. Both CrimeGrade pages stated 'The grade covers only Santa Clara's official city boundaries', and the GreatSchools page stated 'Santa Clara is a city in Santa Clara county', so all figures are city-level, not county-level. Rent 2BR and 3BR from the same Zumper page. District: GreatSchools listed Santa Clara Unified (K-12, 31 schools) and Cupertino Union School District (K-8, 23 schools). Santa Clara Unified is reported in both fiel"
55,Inner Richmond,San Francisco,SF neighbourhood,55.6,57.2,50.2,39.5,89.5,9.0,87.9,3695,5495,61% of 2BR stock,Plenty,13% of 3BR stock,Few,3.6,21.3,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,14.8,4.0,656998,23800,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; CONVERSION FLAG: CrimeGrade published odds, not rates, for this neighborhood - '1 in 295' chance of violent victimization and '1 in 25' for property crime. I converted to per-1,000 (1000/295 = 3.39; 1000/25 = 40.0). These are conversions of a stated odds figure, not directly published per-1,000 rates. Rent figures conflict sharply across platforms: RentHop $3,695 (2BR) and $5,495 (3BR, up $856 YoY) vs a separate 2BR range of $3,895-$4,195, a $7,451 2BR outlier, and a $4,830 3BR average from another aggregator. Zump"
56,El Sobrante,Contra Costa,Unincorporated community,55.6,58.3,10.8,94.0,58.1,59.0,53.0,2297,3050,98% of 2BR stock,Plenty,83% of 3BR stock,Plenty,3.7,20.7,West Contra Costa Unified,29.8,3,West Contra Costa Unified,29.5,3,31.3,13.6,319145,14169,-2.2,address-based attendance area,"Constrained — a TK seat somewhere is guaranteed, but not at the resident school",Ranked,crimegrade.org; CAASPP 2025 (CDE); wccusd.net,"enrolment -2.2% 2023-25 (flat); address-based assignment; TK constrained; RENT: standard Zumper city pattern worked for this CDP; page confirmed El Sobrante, CA. 2BR $2,297 and 3BR $3,050 from the SAME page (1BR $1,783). CRIME: violent 3.721 from the URL above, property 20.70 from https://crimegrade.org/property-crime-el-sobrante-ca/ — same publisher, place confirmed on both. DISTRICT: https://www.greatschools.org/california/el-sobrante/ names a single K-12 unified district, West Contra Costa Unified (headquartered in Richmond, 63 schools), so the same name is entered in both fields per "
57,West Menlo Park,San Mateo,Unincorporated community,55.5,98.0,78.6,24.6,42.1,38.8,51.2,4600,6200,31% of 2BR stock,Some,6% of 3BR stock,Very few,0.9,4.0,Las Lomitas Elementary,82.8,10,Sequoia Union High,57.2,9,38.5,27.6,309008,3712,0.8,address-based attendance area,"Not TK-specific, and a seat in the district is guaranteed: ""Resident registrations are always welcome and placement is always guaranteed at one of our Union School District schools."" The home school is not guaranteed, however — ""If a grade level is closed, you can still register, and placement at another District school will be offered."" No TK waitlist or TK lottery stated.",Ranked,areavibes.com (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE); unionsd.org,"enrolment +0.8% 2023-25 (flat); address-based assignment; TK constrained; PASS-2 TARGETS WERE CRIME + DISTRICT; both resolved. URL NOTE FOR THE PIPELINE: areavibes uses '+' not '-' for multi-word place slugs — https://www.areavibes.com/west+menlo+park-ca/crime/ works where a hyphenated slug does not. CRIME CONVERTED: violent 93/100k and property 396/100k (2024), divided by 100 to give 0.93 and 3.96 per 1,000, both from the same page. SAME CAVEAT AS LARKFIELD: the page states West Menlo Park is not directly available in FBI reports and these are demographic-model estimates, not reported c"
58,Lucas Valley-Marinwood,Marin,Unincorporated community,55.5,95.1,39.4,67.7,57.2,49.5,23.7,2995,3595,85% of 2BR stock,Plenty,65% of 3BR stock,Plenty,1.6,6.8,Miller Creek Elementary,62.0,9,San Rafael City Elementary,35.0,5,31.5,19.3,122386,6043,-0.9,address-based attendance area,"Constrained. ""All eligible TK students will be enrolled and assigned to a TK program within the district. Assignment may be at a different school than the student's school of residence."" The district also notes that for 2027-2028 all TK classes will be consolidated at one centralized location (380 Nova Albion Way), so the home school is explicitly not guaranteed for TK.",Ranked,areavibes.com (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE); millercreeksd.org,"enrolment -0.9% 2023-25 (flat); address-based assignment; TK constrained; CONVERTED from per-100,000 to per-1,000 (divided by 100). Original figures on the page: violent crime 158 per 100,000; property crime 676 per 100,000. Both taken from the SAME AreaVibes page. Place/county confirmed as Lucas Valley-Marinwood, Marin County. IMPORTANT CAVEAT: the page states ""Lucas Valley-Marinwood crime rates are not available from the FBI crime report"" and that the figures are ESTIMATES modelled from demographic data (home prices, income per capita, poverty, unemployment, educational achievement, po"
59,San Pablo,Contra Costa,City,55.2,45.7,10.8,96.4,62.3,59.0,57.2,2100,3100,99% of 2BR stock,Plenty,82% of 3BR stock,Plenty,4.5,20.9,West Contra Costa Unified,29.8,3,West Contra Costa Unified,29.5,3,28.7,11.8,341449,31845,-2.2,address-based attendance area,"Constrained — a TK seat somewhere is guaranteed, but not at the resident school",Ranked,crimegrade.org; CAASPP 2025 (CDE); wccusd.net,"enrolment -2.2% 2023-25 (flat); address-based assignment; TK constrained; Zumper slug worked; both bedroom figures from the same page. Name-collision check: verified the pages are San Pablo, CA (Contra Costa County) and not San Pablo Bay or any similarly-named place. Single UNIFIED district covers K-12 (West Contra Costa Unified, PK/K-12, 63 schools), so the same name is placed in both district fields per the instructions. Did not borrow any Richmond figure."
60,Hercules,Contra Costa,City,55.2,76.3,10.8,92.8,50.0,59.0,42.3,2295,3075,98% of 2BR stock,Plenty,83% of 3BR stock,Plenty,3.0,16.9,West Contra Costa Unified,29.8,3,West Contra Costa Unified,29.5,3,35.6,16.4,263165,26016,-2.2,address-based attendance area,"Constrained — a TK seat somewhere is guaranteed, but not at the resident school",Ranked,crimegrade.org; CAASPP 2025 (CDE); wccusd.net,"enrolment -2.2% 2023-25 (flat); address-based assignment; TK constrained; Complete row — all standard patterns worked. RENT: 2BR $2,295 and 3BR $3,075 from the SAME Zumper page (1BR $1,875); same-publisher rule satisfied. Page flagged the 2BR as up 18% in 30 days, so this figure may be noisy month-to-month. CRIME: violent 2.996, property 16.94 (crimegrade.org/property-crime-hercules-ca/). DISTRICT: single K-12 UNIFIED district covers the city, so per the brief's rule the same name is written into both the elementary and high school fields. GreatSchools confirmed 'Hercules, a city in Cont"
61,Kentfield,Marin,Unincorporated community,55.1,44.6,90.6,18.6,67.0,75.7,34.0,4120,7850,46% of 2BR stock,Some,1% of 3BR stock,Almost none,4.7,19.9,Kentfield Elementary,76.5,10,Kentfield Elementary,78.1,10,26.5,14.0,199876,6485,-4.6,address-based attendance area — residency-based; single-elementary district (Bacich),"Constrained — the district does not run a standard full-day in-district TK classroom: ""KSD provides access to a 3 hour UTK program for KSD families through a partnership with local community agencies,"" and the College of Marin partner program has ""limited space for prioritized enrollment (CSPP eligibility criteria).""",Ranked,crimegrade.org; CAASPP 2025 (CDE); kentfieldschools.org,"enrolment -4.6% 2023-25 (seats opening); address-based assignment; TK constrained; RENT: 2BR $4,120 and 3BR $7,850 from the SAME Zumper page (1BR $2,982) — same-publisher rule satisfied. Large 2BR-to-3BR jump is what the page shows; not adjusted. CRIME: both CrimeGrade pages resolved to Kentfield, CA. HIGH SCHOOL DISTRICT = NULL and this is a deliberate miss, not an oversight: the GreatSchools Kentfield page names only 'Kentfield Elementary School District' (K-8, 2 schools). I re-queried the same page asking it to list every district and any 9-12 district — it again returned only the K-8 district"
62,San Jose,Santa Clara,City,54.9,68.7,35.2,48.5,23.7,72.4,80.9,3580,4495,65% of 2BR stock,Plenty,34% of 3BR stock,Some,3.7,16.1,San Jose Unified,46.4,7,San Jose Unified,45.5,7,54.3,42.1,548099,983489,-4.2,address-based attendance area,"Not TK-specific. The district-wide capacity rule covers every grade including TK: when ""the neighborhood school may be at capacity for the enrolling grade level... the student will be overloaded to the nearest school with available space"" and is ""placed on a waitlist to return to the neighborhood school should space become available."" Enrollment itself is open year-round TK-12. No TK-only waitlist or lottery stated.",Ranked,crimegrade.org; CAASPP 2025 (CDE); sjusd.org,"enrolment -4.2% 2023-25 (seats opening); address-based assignment; TK constrained; RENT: standard Zumper city pattern; page confirmed San Jose, CA, updated 2026-08-08. 2BR $3,580 and 3BR $4,495 from the SAME page (1BR $2,683). CAVEAT on the 3BR: the page phrases it as '3-bedrooms and 4+ bedrooms reaching $4,495/month', so that figure may bundle 4+BR units with 3BR rather than being a clean 3BR average. CRIME: violent 3.711 (assault 2.183, robbery 0.9647, rape 0.5411, murder 0.0217) and property 16.09 from https://crimegrade.org/property-crime-san-jose-ca/ — same publisher. Note both CrimeGrade pa"
63,Walnut Creek,Contra Costa,City,54.9,48.9,81.5,55.7,52.1,40.5,50.7,3364,4300,73% of 2BR stock,Plenty,40% of 3BR stock,Some,3.8,27.7,Walnut Creek Elementary,70.2,10,Acalanes Union High,73.2,10,35.0,19.6,308842,70127,2.0,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +2.0% 2023-25 (flat); Cleanest row in the batch — all three standard patterns worked first try. Rent: 2BR and 3BR from the same Zumper page (1BR $2,640 also shown). Crime: both crimegrade pages self-identified as Walnut Creek, CA. District: a genuine two-district split as the instructions anticipated — Walnut Creek Elementary School District (K-8, 7 schools) for elementary and Acalanes Union High School District (9-12, 6 schools) for high school, both printed on the GreatSchools page with matching grade spans."
64,Glen Park,San Francisco,SF neighbourhood,54.8,68.4,50.2,21.6,85.8,9.0,94.0,4600,6695,31% of 2BR stock,Some,3% of 3BR stock,Very few,1.8,28.9,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,17.0,4.8,712104,8500,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Fully clean. Rent: SF-neighbourhood Zumper pattern worked; 2BR $4,600 and 3BR $6,695 both came off the SAME page in the same 1BR/2BR/3BR table (1BR $3,595), satisfying the same-publisher rule. Page self-identified as Glen Park, San Francisco. Crime: SF-neighbourhood CrimeGrade slug worked on both pages; violent 4.583/1k, property 24.97/1k (graded C, 41st percentile). District skipped per instructions — SF neighbourhood, San Francisco Unified."
65,Atherton,San Mateo,Town,54.7,34.3,75.8,20.4,52.6,86.4,58.6,4600,6950,31% of 2BR stock,Some,2% of 3BR stock,Very few,4.6,30.2,Menlo Park City Elementary,80.8,10,Sequoia Union High,57.2,9,34.8,25.5,347629,7188,-1.6,address-based attendance area,"WIDELY AVAILABLE district-wide, but specific school not guaranteed — asked whether there is space, the district answers ""Yes, for all students who are age eligible"", while also stating ""The district does not offer guaranteed placement in a specific school for TK"" and no priority registration for TK",Ranked,crimegrade.org; CAASPP 2025 (CDE); district.mpcsd.org,"enrolment -1.6% 2023-25 (flat); address-based assignment; TK widely available; Rent: standard Zumper town pattern; 3BR from the same page as the 2BR. The page also gives a $3,440 blended median across all unit types - not used. Crime: both CrimeGrade pages resolved and named Atherton (property crime graded D-). District: ELEMENTARY IS SPLIT THREE WAYS - the GreatSchools page lists Menlo Park City Elementary, Las Lomitas Elementary, and Redwood City Elementary as all serving Atherton. I recorded Menlo Park City Elementary as the representative entry, but the correct elementary district is addr"
66,Richmond,Contra Costa,City,54.4,34.3,10.8,86.2,67.9,59.0,68.4,2395,3400,97% of 2BR stock,Plenty,72% of 3BR stock,Plenty,5.7,20.1,West Contra Costa Unified,29.8,3,West Contra Costa Unified,29.5,3,25.9,10.0,389375,116448,-2.2,address-based attendance area,"Constrained — a TK seat somewhere is guaranteed, but not at the resident school",Ranked,crimegrade.org; CAASPP 2025 (CDE); wccusd.net,"enrolment -2.2% 2023-25 (flat); address-based assignment; TK constrained; Complete — all three URL patterns worked on the first try. NAME COLLISION RESOLVED: 'Richmond' is both this Contra Costa County city and a San Francisco district (the Richmond District). I explicitly checked the CrimeGrade page, which states it concerns Richmond, CA in Contra Costa County and not a San Francisco district — so the crime pair (violent 5.683, property 20.07, same publisher) is the right Richmond. Zumper page confirmed as the California city: 1BR $1,797, 2BR $2,395, 3BR $3,400 as of Aug 8 2026; 2BR and"
67,Belmont,San Mateo,City,54.3,52.9,74.6,25.1,63.5,56.0,54.0,4411,6382,36% of 2BR stock,Some,5% of 3BR stock,Very few,3.4,28.6,Belmont-Redwood Shores Elementary,78.3,10,Sequoia Union High,57.2,9,28.1,20.1,329037,28335,-2.0,"address-based attendance area — assignment is driven by home address (walking distance), not by family-ranked choice","Constrained — TK is offered at only some sites (Cipriani, Fox, Redwood Shores, Sandpiper; Nesbit beginning 2026-27), and the district states ""Many students will not attend Transitional Kindergarten at their school of assignment.""",Ranked,crimegrade.org; CAASPP 2025 (CDE); brssd.org,"enrolment -2.0% 2023-25 (flat); address-based assignment; TK constrained; Collision check: 'Belmont' exists in several states; the GreatSchools page explicitly states 'Belmont is a city in San Mateo county, California', confirming the right place, and the CrimeGrade/Zumper pages both self-identified as Belmont, California. 2BR and 3BR from the same Zumper page. Caveat: that page reports rents 'increased by 43% over the last month', a suspicious one-month jump implying a small sample — reported as published. Split district pattern: Belmont-Redwood Shores Elementary (K-8) + Sequoia Union H"
68,Union City,Alameda,City,54.3,72.0,33.3,64.7,42.8,46.4,66.5,3217,3580,78% of 2BR stock,Plenty,65% of 3BR stock,Plenty,3.1,18.7,New Haven Unified,47.9,7,New Haven Unified,42.0,6,38.3,23.7,385915,70143,0.0,address-based attendance area,"Likely constrained, stated indirectly: the enrollment FAQ says ""Kindergarten and transitional kindergarten availability is the hardest to predict,"" and a transfer applicant ""would have to start the year in his/her home school until we are sure that space is available."" This appears in the intra-district transfer context, not as a description of resident TK enrollment; no TK lottery or formal waitlist is described.",Ranked,crimegrade.org; CAASPP 2025 (CDE); mynhusd.org,"enrolment +0.0% 2023-25 (flat); address-based assignment; TK constrained; Complete — all three URL patterns worked first try. Zumper confirmed as the Alameda County city (neighbours listed: Fremont, Hayward, Milpitas, Oakland): 1BR $2,790, 2BR $3,217, 3BR $3,580, overall median $3,005/mo Aug 2026; 2BR and 3BR from the SAME page. CrimeGrade pair both self-identified as Union City, CA with neighbours Newark, Hayward, Fremont, Fairview, Cherryland — correct place, no collision with Union City in other states since the slug is -ca. Violent 3.076, property 18.66. GreatSchools lists one K-12 d"
69,Tiburon,Marin,Town,54.0,41.8,95.3,3.0,82.1,36.4,65.1,4427,12445,36% of 2BR stock,Some,0% of 3BR stock,Almost none,4.4,27.9,Reed Union Elementary,77.0,10,Reed Union Elementary,82.5,10,19.3,6.4,378415,9148,1.3,"address-based attendance area — effectively district-wide, since there is one school per grade span (Reed PreK-2, Bel Aire 3-5, Del Mar 6-8), so no intra-district school choice exists","No constraint found — no waitlist, lottery, or seat-limit language on the PreK/TK registration page or FAQ; eligibility is age (""turn 4 years old on or before September 1st"") plus residency (""reside within the RUSD boundaries""), with online registration opening January 21, 2026. Read as open, but the district publishes no explicit capacity statement.",Ranked,crimegrade.org; CAASPP 2025 (CDE); reedschools.org,"enrolment +1.3% 2023-25 (flat); address-based assignment; TK constrained; Zumper /rent-research/tiburon-ca worked; 2BR and 3BR both from that SAME page (same-publisher rule satisfied). CAUTION: the 3BR figure of $12,445 is anomalously high versus the $4,427 2BR, and the same page reported rents 'increased by 109% over the last month' — this points to a very thin listing sample in a small town, not a real bedroom premium. Reported as-seen rather than adjusted, but treat as low-confidence. Crime from both CrimeGrade pages, same publisher. GreatSchools Tiburon page named ONLY Reed Union Ele"
70,Discovery Bay,Contra Costa,Unincorporated community,53.5,88.6,38.7,81.1,8.4,91.2,13.0,2650,3295,93% of 2BR stock,Plenty,76% of 3BR stock,Plenty,2.6,9.4,Byron Union Elementary,55.3,8,Byron Union Elementary,40.2,6,67.2,44.0,63644,15235,-6.9,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -6.9% 2023-25 (seats opening); Rent and crime complete; high school district null. Zumper page titled 'Average Rent in Discovery Bay, CA': 1BR $1,700, 2BR $2,650, 3BR $3,295 as of Aug 9 2026, with 2BR and 3BR from the SAME page. CrimeGrade pair both self-identified as Discovery Bay, CA: violent 2.609, property 9.367 — the lowest crime figures in this batch. DISTRICT PARTIAL: GreatSchools names exactly one district, Byron Union Elementary School District (5 schools), and labels it 'Grades K-12', which contradicts 'Elementary' in its own name. I r"
71,San Carlos,San Mateo,City,53.4,59.8,98.1,26.9,60.9,19.5,54.9,4550,6000,32% of 2BR stock,Some,7% of 3BR stock,Very few,3.6,20.4,San Carlos Elementary,81.7,10,San Carlos Elementary,82.6,10,29.5,21.2,330108,30722,5.5,,"LIKELY CONSTRAINED — UNVERIFIED: search excerpts attributed to scsdk8.org state TK, K, 1st and 6th are ""nearing enrollment limits"" due to ""high demand and limited capacity"", placement ""first-come, first-served"", siblings placed first and others ""assigned to a school based on space available"". Treat as a lead, not a confirmed fact",Ranked,crimegrade.org; CAASPP 2025 (CDE); scsdk8.org (search excerpt only; district site blocked with 403 — not directly read),"enrolment +5.5% 2023-25 (filling); TK constrained; Rent: standard Zumper city pattern; 2BR and 3BR from the same page. Crime: both CrimeGrade pages resolved and named San Carlos. District: HIGH SCHOOL LEFT NULL DELIBERATELY - the GreatSchools San Carlos page named only San Carlos Elementary School District (K-8, 3,254 students). It noted the city contains 2 high schools but never named the district operating them, so I did not fill the field. Not a unified district, so the elementary name must not be copied into the high-school field."
72,El Cerrito,Contra Costa,City,53.3,38.6,10.8,70.1,70.0,59.0,71.2,2672,3750,93% of 2BR stock,Plenty,59% of 3BR stock,Some,4.8,21.2,West Contra Costa Unified,29.8,3,West Contra Costa Unified,29.5,3,25.1,9.5,430588,25962,-2.2,address-based attendance area,"Constrained — a TK seat somewhere is guaranteed, but not at the resident school",Ranked,crimegrade.org; CAASPP 2025 (CDE); wccusd.net,"enrolment -2.2% 2023-25 (flat); address-based assignment; TK constrained; COLLISION CHECKED: California has both the Contra Costa County city of El Cerrito (this place, pop ~25,962) and an El Cerrito CDP in Riverside County. The GreatSchools page explicitly stated 'El Cerrito is located in Contra Costa County, California', confirming the -ca slug resolves to the right place; the CrimeGrade violent page also placed it in Contra Costa County. Zumper and CrimeGrade pages said only 'El Cerrito, CA' without a county, so their county identity is inferred from the shared canonical slug rather t"
73,Sunset/Parkside,San Francisco,SF neighbourhood,53.3,84.5,50.2,14.4,77.2,9.0,84.2,5248,7212,17% of 2BR stock,Few,2% of 3BR stock,Almost none,2.5,15.9,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,21.8,6.4,582379,84600,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"? (3BR reconstructed from 2BR x 1.37); DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Only crime was requested. Slug hunt: /violent-crime-sunset-district-san-francisco-ca/ returned 404 and /violent-crime-sunset-san-francisco-ca/ returned 404. The slug that resolved was 'parkside': violent 5.644 and property 28.10, both pages self-identifying as 'Parkside, San Francisco, CA' — same publisher, matched pair. Reader caveat: these cover the Parkside half of the combined Sunset/Parkside district, not the Sunset half, because CrimeGrade has no page for the merged district. I did NOT substitute the citywide"
74,Redwood City,San Mateo,City,53.1,48.7,62.4,30.2,56.7,65.0,55.3,3995,5800,50% of 2BR stock,Some,9% of 3BR stock,Very few,4.5,19.4,Redwood City Elementary,45.4,7,Sequoia Union High,57.2,9,31.8,23.1,332572,84292,-2.8,"address-based attendance area (with an optional ""School of Choice"" lottery layered on top for specialized/immersion programs only)","Constrained. Enrollment page (which explicitly covers ""new 2026-27 students entering TK and K-8 grades""): ""If space is not available at the neighborhood school at the time the family is enrolling during the spring and summer, students are placed at a different school until space becomes available at their neighborhood school. Students are enrolled in the order in which they submit their application."" School of Choice page adds: ""If a student moves into the area after the open enrollment period and their neighborhood school is full, they will be placed at a school that has openings,"" and ""seats are limited and families transferring from another neighborhood school may be placed on a waitlist.""",Ranked,crimegrade.org; CAASPP 2025 (CDE); rcsdk8.net,"enrolment -2.8% 2023-25 (flat); address-based assignment; TK constrained; All four patterns worked first try. 2BR and 3BR from the same Zumper page. GreatSchools confirmed San Mateo County and a two-district split: K-8 Redwood City Elementary plus 9-12 Sequoia Union High. Note the name collision risk in this county — verified the pages say Redwood City, not the separate city of San Mateo or San Mateo County."
75,Noe Valley,San Francisco,SF neighbourhood,52.8,62.6,50.2,6.0,90.2,9.0,98.6,5995,8238,7% of 2BR stock,Very few,0% of 3BR stock,Almost none,1.9,52.8,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,14.2,3.8,737761,22000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"? (3BR reconstructed from 2BR x 1.37); DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; 2BR rent sources disagree widely: RentHop $5,995 (May 2026, used here), RentCafe range $4,250-$7,324 (Jul 2026), Apartments.com ~$3,530. Zumper 2BR-apartments page title showed 25 rentals. 3BR listings: Zumper page title read '408 3 Bedroom Homes' which is implausible for a ~22k-population neighborhood and is almost certainly a city/region-wide count; the search tool's synthesized reading of the same Zumper page gave 47 available 3BR houses, which is what is recorded. No sub-$4,000 filtered page found for either be"
76,Colma,San Mateo,Town,52.7,11.9,28.6,43.1,87.0,67.4,78.1,4045,4775,48% of 2BR stock,Some,26% of 3BR stock,Few,7.6,59.0,Jefferson Elementary,47.1,7,Jefferson Elementary,37.7,6,16.0,9.0,508519,1507,-1.6,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment -1.6% 2023-25 (flat); Rent: standard Zumper city pattern worked; page self-identified as Colma, CA. 2BR and 3BR from the SAME page (1BR $3,030 also shown). Crime: both CrimeGrade pages resolved and both self-identified as Colma, CA (violent 7.588, property 58.96 — the very high property rate is plausible for Colma, a ~1,500-resident town whose daytime population is dominated by big-box retail, so per-resident rates are inflated). District: greatschools.org/california/colma/ named only Jefferson Elementary School District; confirmed inde"
77,West of Twin Peaks,San Francisco,SF neighbourhood,52.7,63.5,50.2,19.2,83.3,9.0,90.7,5000,6697,21% of 2BR stock,Few,3% of 3BR stock,Very few,2.8,25.0,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,19.1,5.5,679070,39000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Rent: SF-neighbourhood Zumper pattern worked. Both figures from the same page and same table, so the same-publisher rule holds. Note a conflict inside the page: prose text says '2-bedroom apartments are $4,495' while the detailed bedroom-breakdown table shows $5,000 (up 35% in 30 days). I took the table value ($5,000) because the 3BR also comes from that table, which keeps 2BR and 3BR internally consistent; the $4,495 prose figure is the rejected alternative. Crime and district not attempted — batch listed this pla"
78,North Fair Oaks,San Mateo,Unincorporated community,52.6,43.4,62.4,31.1,54.4,65.0,59.5,4060,5717,48% of 2BR stock,Some,10% of 3BR stock,Few,5.0,18.5,Redwood City Elementary,45.4,7,Sequoia Union High,57.2,9,33.7,24.6,350630,14687,-2.8,"address-based attendance area (with an optional ""School of Choice"" lottery layered on top for specialized/immersion programs only)","Constrained. Enrollment page (which explicitly covers ""new 2026-27 students entering TK and K-8 grades""): ""If space is not available at the neighborhood school at the time the family is enrolling during the spring and summer, students are placed at a different school until space becomes available at their neighborhood school. Students are enrolled in the order in which they submit their application."" School of Choice page adds: ""If a student moves into the area after the open enrollment period and their neighborhood school is full, they will be placed at a school that has openings,"" and ""seats are limited and families transferring from another neighborhood school may be placed on a waitlist.""",Ranked,crimegrade.org; CAASPP 2025 (CDE); rcsdk8.net,"enrolment -2.8% 2023-25 (flat); address-based assignment; TK constrained; District URL: https://en.wikipedia.org/wiki/North_Fair_Oaks,_California . Pass-2 scope for this place was DISTRICT ONLY — rent and crime were already resolved in pass 1 and were not re-researched here; the nulls in those columns are out-of-scope placeholders, not new negative findings. Do not overwrite pass-1 rent/crime values with these nulls. greatschools.org/california/north-fair-oaks/ redirects to a generic statewide CA page (no place-level content); niche.com returned HTTP 403."
79,Pinole,Contra Costa,City,52.6,53.7,10.8,94.6,53.0,59.0,44.7,2300,2997,98% of 2BR stock,Plenty,85% of 3BR stock,Plenty,3.8,22.5,West Contra Costa Unified,29.8,3,West Contra Costa Unified,29.5,3,34.1,15.3,279061,19038,-2.2,address-based attendance area,"Constrained — a TK seat somewhere is guaranteed, but not at the resident school",Ranked,crimegrade.org; CAASPP 2025 (CDE); wccusd.net,"enrolment -2.2% 2023-25 (flat); address-based assignment; TK constrained; Complete, all four fetches clean. Zumper city pattern worked; 2BR ($2,300) and 3BR ($2,997) both from the SAME page (1BR $1,763). Both CrimeGrade pages resolved and named Pinole explicitly; property from https://crimegrade.org/property-crime-pinole-ca/. GreatSchools shows a single PK/K-12 unified district (West Contra Costa Unified, 63 schools) serving Pinole, so the same name fills both district fields."
80,Portola Valley,San Mateo,Town,52.6,63.1,79.8,13.8,40.0,83.8,35.3,5810,6710,9% of 2BR stock,Very few,3% of 3BR stock,Very few,4.4,12.7,Portola Valley Elementary,83.7,10,Sequoia Union High,57.2,9,41.0,29.7,207881,4456,-2.8,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); pvsd.net,"enrolment -2.8% 2023-25 (flat); address-based assignment; Complete. Rent: Zumper town page confirmed 'Portola Valley, California'; 2BR $5,810 and 3BR $6,710 BOTH from that same page (last-30-days listings) - same-publisher rule satisfied. Small, expensive market so sample is likely thin. Crime: both CrimeGrade pages named Portola Valley explicitly (violent 4.367; property 12.73, graded C+ / 48th percentile nationally). Property URL: https://crimegrade.org/property-crime-portola-valley-ca/. DISTRICT USED TWO SOURCES: GreatSchools /california/portola-valley/ (confirmed 'a c"
